"id","title","description","body","ground_truth_id"
"200001","Editor crash on startup using --display-driver wayland","Bug report: tested versions - Godot 4.6.1.stable.gentoo.14d19694e - Godot 4.6.1.stable.official.14d19694e System information Note that I can't get far enough into the editor to get to the Help -> Copy System Info button when launching with wayland, so I just launched with x11 and replaced...","Tested versions - Godot 4.6.1.stable.gentoo.14d19694e - Godot 4.6.1.stable.official.14d19694e System information Note that I can't get far enough into the editor to get to the Help -> Copy System Info button when launching with wayland, so I just launched with x11 and replaced `X11 Display Driver` with `Wayland Display Driver`. If I need to correct that let me know. Here is the backtrace: I've also attached a more complete log of the crash here. Opening a project either from that menu or from `godot --display-driver wayland -e --path /path/to/project` does crash. Godot v4.6.1.stable (14d19694e) - Gentoo 2.18 on Wayland - Wayland display driver, Multi-window, 3 monitors - OpenGL 3 (Compatibility) - AMD Radeon RX 9070 XT (radeonsi, gfx1201, LLVM 20.1.8, DRM 3.64, 6.18.8-gentoo-dist) - AMD Ryzen 9 9950X3D 16-Core Processor (32 threads) - 60.45 GiB memory problem description Whenever I load a project **on KDE Plasma**, it crashes. This bug doesn't occur when I'm on sway. Something weird to note is that I have both swaywm and KDE Plasma installed, and I can only reproduce this bug when using vulkan (forward+ I guess?) in godot **on KDE**. `godot --display-driver wayland -e --path /path/to/project` Minimal reproduction project (MRP) This happens to me for every project so I don't think providing a reference project is necessary. Loading the project selection menu, i.e. just calling `godot` does not crash. Steps to reproduce 1.","116862"
"200002","Editor: Fix Refresh Project Settings UI after reloading from disk","Problem noted: when 'project.godot' is modified externally, the ProjectSettings singleton updates, but the ProjectSettingsEditor window remains stale.","When 'project.godot' is modified externally, the ProjectSettings singleton updates, but the ProjectSettingsEditor window remains stale. This introduces a new editor-only notification (ID: 10001) named NOTIFICATION_PROJECT_SETTINGS_RELOADED to signal UI components like the Input Map and Localization tabs to refresh their views. This Closes 114223","117842"
"200003","[4.5] Fix Metal driver buidl with Xcode 26.4","Bug report: this PR is a manual backport of PR 117819 to the 4.5 branch, because there were conflicts, and there are also conflicts if you try to backport the 4.6 PR 117989 to the 4.5 branch.","Bug report: this PR is a manual backport of PR 117819 to the 4.5 branch, because there were conflicts, and there are also conflicts if you try to backport the 4.6 PR 117989 to the 4.5 branch. This change is required to resolve compiling Godot 4.5 on the latest macOS. This can be further cherry-picked automatically to the 4.4 branch to fix compiling Godot 4.4 on the latest macOS. There is no need to cherry-pick to branhces 4.3 and earlier because those already compile fine.","117990"
"200004","Fix a crahs in the wild with drag and drop in the Skeleton3D editor.","This patch, rather than stating that it can drag nodes, it uses a dedicated type for the drag operation, and validates the arguments before attempting to perform the operation.","This patch, rather than stating that it can drag nodes, it uses a dedicated type for the drag operation, and validates the arguments before attempting to perform the operation. This is a repair for 116669 Additionally, it uses the safer idiom to pass the selected node, as seen in other places in the codebase, where we pass the instance_id rather than the object, and then extract that ou.t Looking for comments on the approach and whether I missed something important. _Bugsquad edited:_ Fixes https://github.com/godotengine/godot/issues/116669","116670"
"200005","Error about unsupported HDR on eidtor start","problem observed: tested versions - Reproducible in 4.7.dev [d2a987599].","Issue observed: tested versions - Reproducible in 4.7.dev [d2a987599]. Minimal reproduction project (MRP) Unnecessary. CC @ArchercatNEO. System information Fedora Kinoite 43 GNU/Linux Issue description At editor startup, this message is always printed: `display/window/hdr/request_hdr_output` is disabled on my project settings. Steps to reproduce Open the editor.","117527"
"200006","Looping back when uploading project","Bug report: bug report: tested versions 4.6.1.stable.official It worked minutes or an hour ago as usual but now it doesn't.","Bug report: bug report: tested versions 4.6.1.stable.official It worked minutes or an hour ago as usual but now it doesn't. I suspect someone just contributed to Godot Web. I'll paste system info into bellow from an empty new project. System information Windows 11 Aspire 3 15 Edge Godot v4.6.1.stable - Web - Single-window, 1 monitor - OpenGL ES 3 (Compatibility) - WebKit WebGL - (2 threads) defect description <img width=""1919"" height=""975"" alt=""Image"" src=""https://github.com/user-attachments/assets/c42896ce-7a6e-4951-8aa8-48ac46c43b75"" /> I upload my zip as normal <img width=""1907"" height=""915"" alt=""Image"" src=""https://github.com/user-attachments/assets/c15e200f-41ba-407e-aae6-616b26b92ca1"" /> Hit install as normal <img width=""1904"" height=""971"" alt=""Image"" src=""https://github.com/user-attachments/assets/1925471f-6796-49c4-96a9-831bee15fc77"" /> Loops back here. Windows 11 Aspire 3 15 Edge 4.6.1.stable.official It worked minutes or an hour ago as usual but now it doesn't. I suspect someone just contributed to Godot Web. I'll paste system info into bellow from an empty new project. Steps to reproduce I don't know what this is, i'm new to github threads, sorry Minimal reproduction project (MRP) It's all godot files","117577"
"200007","Freeze or stop responding when a certain ShaderInclude is involved","Tested versions - Reproducible in 4.6-1 and v4.6.1.stable.official [14d19694e] System information Operating System: Manjaro Linux KDE Plasma Version: 6.5.5 KDE Frameworks Version: 6.23.0 Qt Version: 6.10.2 Kernel Version: 6.18.12-1-MANJARO (64-bit) Graphics Platform: Wayland P...","Tested versions - Reproducible in 4.6-1 and v4.6.1.stable.official [14d19694e] System information Operating System: Manjaro Linux KDE Plasma Version: 6.5.5 KDE Frameworks Version: 6.23.0 Qt Version: 6.10.2 Kernel Version: 6.18.12-1-MANJARO (64-bit) Graphics Platform: Wayland Processors: 24 × AMD Ryzen 9 5900X 12-Core Processor Memory: 128 GiB of RAM (125,7 GiB usable) Graphics Processor: AMD Radeon RX 7900 XT Manufacturer: Gigabyte Technology Co., Ltd. log.txt Steps to reproduce In the MRP, you have a file `fluid.gdshader` which contains `include ""res://texture_animation.gdshaderinc""` - Open `new_shader_material.tres` - Drag & Drop `fluid.gdshader` into the `shader` property of the material - Wait for the freeze or crash to happen Minimal reproduction project (MRP) shaderinclude_mrp.zip The Editor writes approximately 35k lines of errors. Product Name: B550 AORUS ELITE AX V2 defect description When the Editor hits a certain shader+shader include combination, it freezes or crashes.","117627"
"200008","texture_sdf_normal can't be usde in CanvasItem shaders without texture_sdf","Problem noted: tested versions - Reproducible in: v4.6.1.stable.steam [14d19694e] System information OS: Windows 11 - Godot: v4.6.1.stable (Compatibility renderer) - CPU: AMD Ryzen 7 7800X3D - GPU: GeForce RTX 5070 Ti problem description If you want to read the SDF normals gener...","Problem noted: tested versions - Reproducible in: v4.6.1.stable.steam [14d19694e] System information OS: Windows 11 - Godot: v4.6.1.stable (Compatibility renderer) - CPU: AMD Ryzen 7 7800X3D - GPU: GeForce RTX 5070 Ti Issue description If you want to read the SDF normals generated by LightOccluder2D nodes in a shader using texture_sdf_normal(), texture_sdf() needs to be explicitly used in the final shader output. Minimal reproduction project (MRP) sdf-normal-test.zip 2. The node has to be connected to the final output node somehow. Linking the node to the output in any arbitrary way will fix the rendering of both materials. A VisualShader with the VisualShaderNodeTextureSDF disconnected from the output node. Video example: https://www.youtube.com/watch?v=t0yOnlvIcdA Steps to reproduce In the minimal reproduction project I've included 2 shaders which showcase the issue: 1. The problem is that you don't always need the signed distance value returned by the texture_sdf function. A typical shader with texture_sdf() commented out, removing the comment will fix the rendering of both materials. This is a bigger issue for VisualShaders, since having a VisualShaderNodeTextureSDF is not enough. After some testing, it seems like as long as ANY shader performs the texture lookup using texture_sdf(), the shader will work.","117783"
"200009","Fix TextEdit showing focus on some mouse events","Bug report: fixes: https://github.com/godotengine/godot/issues/116677 After: Screencast_20260223_190728.webm","Fixes: https://github.com/godotengine/godot/issues/116677 After: Screencast_20260223_190728.webm","116678"
"200010","Fix audio reimport Causing `Infinite Loop`","Bug report: fix 117817 fix `audio_stream_mp`3 and `audio_stream_ogg` `loop_offset` control","Fix 117817 fix `audio_stream_mp`3 and `audio_stream_ogg` `loop_offset` control","117856"
