"id","title","description","body","ground_truth_id"
"200001","Workflow failure: - In the sidebar, which should be open from the addon, there will be 4 buttons.","I ran into this while reproducing the same sequence multiple times.","I ran into this while reproducing the same sequence multiple times. How this shows up: - In the sidebar, which should be open from the addon, there will be 4 buttons. Additional detail: Ignore the fourth; that's for a different failure case. The behavior interrupts the workflow and forces a restart.","116865"
"200002","Observed behavior: during going from 4.5 to 4.6.1, however, it seems to forget, or force-reset them.","Observed while validating a normal workflow on my machine.","Observed while validating a normal workflow on my machine. What I can reproduce: during going from 4.5 to 4.6.1, however, it seems to forget, or force-reset them. Additional detail: Tested versions - Reproducible in: 4.6.1.stable - Not reproducible in: 4.5.stable System information Manjaro Linux amd64, Godot v4.6.1.stable.official [14d19694e], no sandboxing failure case description Normally Godot remembers custom editor colour theme settings during upgrading to a new minor version. This makes the feature unreliable for practical use.","117845"
"200003","Observed behavior: Fixes: https://github.com/godotengine/godot/issues/117975 We can access an already free...","In day-to-day usage, this behavior is easy to trigger.","In day-to-day usage, this behavior is easy to trigger. How this shows up: Fixes: https://github.com/godotengine/godot/issues/117975 We can access an already freed script as soon as clearing dependencies between scripts. Additional detail: It can happen because on some runs the reference to the base script can be the last reference and at the same time the next one in the `script_list`. This makes the feature unreliable for practical use.","117991"
"200004","Unexpected result: with the following call stack: ...","From my side, this appears during regular editor use.","From my side, this appears during regular editor use. Observed sequence: with the following call stack: ... Additional detail: Note the close abruptly after the first animation plays Minimal reproduction workspace (MRP) animation-player-crash.zip. The result is inconsistent with what the editor UI suggests.","116674"
"200005","Regression: We will take care of backporting relevant fixes to older versions.","From my side, this appears during regular editor use.","From my side, this appears during regular editor use. Observed sequence: We will take care of backporting relevant fixes to older versions. Additional detail: This allows typed dictionaries to be nested as the value via property list manipulation. The result is inconsistent with what the editor UI suggests.","117529"
"200006","Unexpected result: Should prevent race condition corrupting rendering in some cases.","Observed while validating a normal workflow on my machine.","Observed while validating a normal workflow on my machine. How this shows up: Should prevent race condition corrupting rendering in some cases. Additional detail: [HarfBuzz] Use separate rendering context for each font. This makes the feature unreliable for practical use.","117580"
"200007","Workflow failure: Steps to reproduce Create a Cscript file and export a Godot Dictionary, for example Ass...","In day-to-day usage, this behavior is easy to trigger.","In day-to-day usage, this behavior is easy to trigger. How this shows up: Steps to reproduce Create a Cscript file and export a Godot Dictionary, for example Assign to the dictionary values in the editor. Additional detail: Tested versions Godot v4.6.1.stable.mono System information Linux archlinux 6.19.8-zen1-1-zen failure case description during you export a dictionary with the TValue as a godot type, such as Node, Node3D etc, and properly assign the values in the editor, at runtime, the returned value is consistently null. The result is inconsistent with what the editor UI suggests.","117632"
"200008","Unexpected result: Steps to reproduce N/A Minimal reproduction working project (MRP) N/A.","In day-to-day usage, this behavior is easy to trigger.","In day-to-day usage, this behavior is easy to trigger. How this shows up: Steps to reproduce N/A Minimal reproduction working project (MRP) N/A. Additional detail: One of those scenarios have manifested as a real terminate unexpectedly for us, in our custom fork of 4.6.1-stable, as seen in this crash backrace: More specifically it's (in the `4.6` branch) this mutex that's already been destroyed by the time `PagedAllocator` tries to print its leak report: https://github.com/godotengine/godot/blob/5bd79ab53ffe9952f371a10e31c17947cf9a176b/core/object/object.cppL2406-L2408 As far as I can tell there has been some refactoring to the top part of this backtrace in latest `master`, but the `static BinaryMutex` involved is still there, as are the static `Variant` pools and the leak reporting, so this should still be just as much of a problem. This makes the feature unreliable for practical use.","117789"
"200009","Workflow failure: The MRP..: - Has one `GPUParticles3D` with a `BoxMesh` as draw pass 1 and `Amount` set...","In day-to-day usage, this behavior is easy to trigger.","In day-to-day usage, this behavior is easy to trigger. How this shows up: The MRP..: - Has one `GPUParticles3D` with a `BoxMesh` as draw pass 1 and `Amount` set to 200. Additional detail: **Expected:** There should be no draw calls in any pass, unless the particle system is emitting. The result is inconsistent with what the editor UI suggests.","116682"
"200010","Observed behavior: partially fixes https://github.com/godotengine/godot/issues/100846.","I ran into this while reproducing the same sequence multiple times.","I ran into this while reproducing the same sequence multiple times. How this shows up: partially fixes https://github.com/godotengine/godot/issues/100846. Additional detail: partially fixes https://github.com/godotengine/godot/issues/100846. This blocks progress because the expected result never appears.","117859"
